@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,-7.9625
,2015-07-21 01:00,-6.4045
,2015-07-21 02:00,-5.5295
,2015-07-21 03:00,-9.4865
,2015-07-21 04:00,-14.5075
,2015-07-21 05:00,-30.6325
,2015-07-21 06:00,-44.3275
,2015-07-21 07:00,-35.3725
,2015-07-21 08:00,-24.89
,2015-07-21 09:00,163.155
,2015-07-21 10:00,347
,2015-07-21 11:00,472.575
,2015-07-21 12:00,574.3
,2015-07-21 13:00,638.25
,2015-07-21 14:00,674.175
,2015-07-21 15:00,654.825
,2015-07-21 16:00,588.55
,2015-07-21 17:00,494.65
,2015-07-21 18:00,375.725
,2015-07-21 19:00,232.075
,2015-07-21 20:00,92.1875
,2015-07-21 21:00,-17.58325
,2015-07-21 22:00,-50.3575
,2015-07-21 23:00,-51.3625
