@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,15.9075
,2015-07-21 01:00,16.045
,2015-07-21 02:00,15.5875
,2015-07-21 03:00,15.3525
,2015-07-21 04:00,14.7725
,2015-07-21 05:00,14.6
,2015-07-21 06:00,14.8275
,2015-07-21 07:00,15.8975
,2015-07-21 08:00,18.7
,2015-07-21 09:00,20.07
,2015-07-21 10:00,21.21
,2015-07-21 11:00,22.2925
,2015-07-21 12:00,23.2025
,2015-07-21 13:00,24.425
,2015-07-21 14:00,25.25
,2015-07-21 15:00,25.9625
,2015-07-21 16:00,26.4325
,2015-07-21 17:00,26.405
,2015-07-21 18:00,25.8675
,2015-07-21 19:00,24.3575
,2015-07-21 20:00,21.865
,2015-07-21 21:00,20.605
,2015-07-21 22:00,19.96
,2015-07-21 23:00,19.4525
