@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,1.941770482
,2015-07-21 01:00,1.9418432689
,2015-07-21 02:00,1.9419160558
,2015-07-21 03:00,1.9419888428
,2015-07-21 04:00,1.9420616297
,2015-07-21 05:00,1.9421344166
,2015-07-21 06:00,1.9422072035
,2015-07-21 07:00,1.9422799904
,2015-07-21 08:00,1.9423527773
,2015-07-21 09:00,1.9424255643
,2015-07-21 10:00,1.9424983512
,2015-07-21 11:00,1.9425711381
,2015-07-21 12:00,1.942643925
,2015-07-21 13:00,1.9427167119
,2015-07-21 14:00,1.9427894988
,2015-07-21 15:00,1.9428622858
,2015-07-21 16:00,1.9429350727
,2015-07-21 17:00,1.9430078596
,2015-07-21 18:00,1.9430806465
,2015-07-21 19:00,1.9431534334
,2015-07-21 20:00,1.9432262203
,2015-07-21 21:00,1.9432990073
,2015-07-21 22:00,1.9433717942
,2015-07-21 23:00,1.9434445811

